#|K|Value
1.|Stephen Gostkowski|NE|$1
2.|Justin Tucker|BAL|$1
3.|Steven Hauschka|SEA|$1
4.|Graham Gano|CAR|$1
5.|Chris Boswell|PIT|$1
6.|Mason Crosby|GB|$1
7.|Chandler Catanzaro|ARI|$1
8.|Dan Bailey|DAL|$1
9.|Blair Walsh|MIN|$1
10.|Brandon McManus|DEN|$1
11.|Adam Vinatieri|IND|$0
12.|Cairo Santos|KC|$0
13.|Josh Brown|NYG|$0
14.|Mike Nugent|CIN|$0
15.|Robbie Gould|CHI|$0
16.|Matt Prater|DET|$0
17.|Nick Folk|NYJ|$0
18.|Nick Novak|HOU|$0
19.|Matt Bryant|ATL|$0
20.|Dan Carpenter|BUF|$0
21.|Dustin Hopkins|WAS|$0
