
#|RB|Team|Value
1.|David Johnson|ARI|$47
2.|Jamaal Charles|KC|$44
3.|Todd Gurley|LA|$40
4.|Lamar Miller|HOU|$40
5.|Devonta Freeman|ATL|$39
6.|Adrian Peterson|MIN|$37
7.|Le'Veon Bell|PIT|$37
8.|Mark Ingram|NO|$33
9.|Ezekiel Elliott|DAL|$29
10.|LeSean McCoy|BUF|$27
11.|Eddie Lacy|GB|$24
12.|Doug Martin|TB|$21
13.|Matt Forte|NYJ|$19
14.|C.J. Anderson|DEN|$19
15.|Danny Woodhead|SD|$18
16.|Latavius Murray|OAK|$17
17.|Carlos Hyde|SF|$14
18.|DeMarco Murray|TEN|$13
19.|Giovani Bernard|CIN|$13
20.|Thomas Rawls|SEA|$13
21.|Jeremy Langford|CHI|$13
22.|Duke Johnson|CLE|$12
23.|Matt Jones|WAS|$11
24.|Jonathan Stewart|CAR|$10
25.|Ryan Mathews|PHI|$10
26.|Frank Gore|IND|$9
27.|Melvin Gordon|SD|$9
28.|Jeremy Hill|CIN|$9
29.|Arian Foster|MIA|$9
30.|Ameer Abdullah|DET|$8
31.|T.J. Yeldon|JAC|$8
32.|Rashad Jennings|NYG|$7
33.|Dion Lewis|NE|$7
34.|Theo Riddick|DET|$7
35.|Charles Sims|TB|$6
36.|Shane Vereen|NYG|$6
37.|Darren Sproles|PHI|$6
38.|Justin Forsett|BAL|$6
39.|Isaiah Crowell|CLE|$5
40.|Chris Ivory|JAC|$4
41.|LeGarrette Blount|NE|$4
42.|Bilal Powell|NYJ|$4
43.|DeAngelo Williams|PIT|$3
44.|Jay Ajayi|MIA|$3
45.|James Starks|GB|$2
46.|Chris Thompson|WAS|$1
47.|Derrick Henry|TEN|$1
48.|Javorius Allen|BAL|$0
49.|DeAndre Washington|OAK|$0
50.|Jerick McKinnon|MIN|$0
51.|C.J. Prosise|SEA|$0
52.|Tevin Coleman|ATL|$0
53.|Devontae Booker|DEN|$0
54.|C.J. Spiller|NO|$0
55.|Jordan Howard|CHI|$0
56.|James White|NE|$0
57.|Darren McFadden|DAL|$0
58.|Chris Johnson|ARI|$0
59.|Shaun Draughn|SF|$0
60.|Benny Cunningham|LA|$0
61.|Cameron Artis-Payne|CAR|$0
62.|Tim Hightower|NO|$0
63.|Ronnie Hillman|DEN|$0
64.|Kenneth Dixon|BAL|$0
65.|Josh Ferguson|IND|$0
66.|Andre Ellington|ARI|$0
67.|Christine Michael|SEA|$0
68.|Spencer Ware|KC|$0
69.|Alfred Blue|HOU|$0
70.|Robert Turbin|IND|$0
71.|Paul Perkins|NYG|$0
72.|Karlos Williams,|$0
73.|Kenyan Drake|MIA|$0
74.|Dexter McCluster|TEN|$0
75.|Mike Tolbert|CAR|$0
76.|Charcandrick West|KC|$0
77.|Ka'Deem Carey|CHI|$0
78.|Damien Williams|MIA|$0
79.|Alfred Morris|DAL|$0
80.|Zach Line|MIN|$0
81.|Mike Gillislee|BUF|$0
82.|Reggie Bush|BUF|$0
83.|Khiry Robinson|NYJ|$0
84.|Terrance West|BAL|$0
85.|Kenjon Barner|PHI|$0
86.|Marcel Reece|OAK|$0
87.|Kelvin Taylor|SF|$0
88.|Tre Mason|LA|$0
89.|Matt Asiata|MIN|$0
90.|Ryan Hewitt|CIN|$0
91.|Knile Davis|KC|$0
92.|Branden Oliver|SD|$0
93.|Jonas Gray|JAC|$0
94.|Tyler Ervin|HOU|$0
95.|Wendell Smallwood|PHI|$0
96.|Rob Kelley|WAS|$0
97.|Denard Robinson|JAC|$0
98.|Zach Zenner|DET|$0
99.|Taiwan Jones|OAK|$0
100.|Jonathan Grimes|HOU|$0
101.|Brandon Bolden|NE|$0
102.|Keith Marshall|WAS|$0
103.|David Cobb|TEN|$0
104.|Lance Dunbar|DAL|$0
105.|Jordan Todman|IND|$0
106.|Lorenzo Taliaferro|BAL|$0
107.|Antonio Andrews|TEN|$0
108.|Jacquizz Rodgers|CHI|$0
109.|Jonathan Williams|BUF|$0
110.|Jarryd Hayne,|$0
111.|DuJuan Harris|SF|$0
112.|Patrick DiMarco|ATL|$0
113.|Stevan Ridley|DET|$0
114.|Will Johnson|NYG|$0
115.|Orleans Darkwa|NYG|$0
116.|Jamize Olawale|OAK|$0
117.|Kendall Gaskins|SF|$0
118.|Stepfan Taylor|ARI|$0
119.|Mack Brown|WAS|$0
120.|Bobby Rainey|NYG|$0
121.|Bruce Miller|SF|$0
122.|Roy Helu,|$0
123.|Kyle Juszczyk|BAL|$0
124.|Terron Ward|ATL|$0
125.|Andre Williams|NYG|$0
126.|Fozzy Whittaker|CAR|$0
