"TE","Consensus","Andy","Jason","Mike"
"Rob Gronkowski NE (9)","1","1","1","1"
"Jordan Reed WAS (9)","2","2","2","2"
"Gary Barnidge CLE (13)","3","5","4","4"
"Greg Olsen CAR (7)","4","6","3","5"
"Travis Kelce KC (5)","5","3","5","7"
"Coby Fleener NO (5)","6","10","6","3"
"Antonio Gates SD (11)","7","4","11","6"
"Tyler Eifert CIN (9)","8","8","10","9"
"Zach Ertz PHI (4)","9","9","7","12"
"Delanie Walker TEN (13)","10","7","12","11"
"Dwayne Allen IND (10)","11","13","8","10"
"Eric Ebron DET (10)","12","12","9","15"
"Julius Thomas JAC (5)","13","11","13","16"
"Vance McDonald SF (8)","14","16","14","13"
"Jason Witten DAL (7)","15","23","15","8"
"Zach Miller CHI (9)","16","14","16","17"
"Martellus Bennett NE (9)","17","17","17","20"
"Will Tye NYG (8)","17","15","21","18"
"Kyle Rudolph MIN (6)","19","18","19","23"
"Charles Clay BUF (10)","20","21","18","25"
"Virgil Green DEN (11)","21","20","33","14"
"Jordan Cameron MIA (8)","22","24","22","22"
"Clive Walford OAK (10)","22","26","23","19"
"Austin Seferian-Jenkins TB (6)","24","22","24","27"
"Benjamin Watson BAL (8)","24","19","30","24"
"Ladarius Green PIT (8)","26","25","20","29"
"Jared Cook GB (4)","27","30","26","21"
"Maxx Williams BAL (8)","28","27","25","26"
"Jimmy Graham SEA (5)","29","29","27","30"
"Richard Rodgers GB (4)","30","31","31","28"
"Vernon Davis WAS (9)","31","32","32","31"
"Larry Donnell NYG (8)","32","28","35","33"
"Zach Miller, FA","33","33","34","32"
"Crockett Gillmore BAL (8)","34","34","36","34"
"Jace Amaro NYJ (11)","35","35","37","35"
"Owen Daniels, FA","36","36","38","36"
"Jacob Tamme ATL (11)","37","37","39","37"
"Josh Hill NO (5)","38","38","40","38"
"Ryan Griffin HOU (9)","39","39","41","39"
"Jesse James PIT (8)","40","40","42","40"
"Mychal Rivera OAK (10)","41","41","43","41"
"Blake Bell SF (8)","42","42","44","42"
"Darren Fells ARI (9)","43","43","45","43"
"Brent Celek PHI (4)","44","44","46","44"
"Jeff Cumberland SD (11)","45","45","47","45"
"Lance Kendricks LA (8)","46","46","48","46"
