"WR","Consensus","Andy","Jason","Mike"
"Antonio Brown PIT (8)","1","2","1","1"
"Julio Jones ATL (11)","2","1","2","2"
"Odell Beckham Jr. NYG (8)","3","3","3","3"
"A.J. Green CIN (9)","4","5","4","5"
"Brandon Marshall NYJ (11)","5","4","6","9"
"DeAndre Hopkins HOU (9)","6","8","5","8"
"Dez Bryant DAL (7)","6","7","8","6"
"Allen Robinson JAC (5)","8","6","9","7"
"Alshon Jeffery CHI (9)","9","11","7","10"
"Keenan Allen SD (11)","10","12","14","4"
"Mike Evans TB (6)","11","10","10","11"
"Demaryius Thomas DEN (11)","12","9","11","12"
"Jordy Nelson GB (4)","13","13","16","13"
"Brandin Cooks NO (5)","14","17","13","15"
"Sammy Watkins BUF (10)","15","15","15","18"
"Amari Cooper OAK (10)","16","16","17","16"
"Julian Edelman NE (9)","17","25","12","14"
"T.Y. Hilton IND (10)","18","18","19","17"
"Jeremy Maclin KC (5)","18","14","21","19"
"Jarvis Landry MIA (8)","20","22","20","23"
"Golden Tate DET (10)","21","29","18","20"
"Larry Fitzgerald ARI (9)","22","19","25","25"
"Randall Cobb GB (4)","23","23","29","24"
"Jordan Matthews PHI (4)","23","26","22","28"
"Michael Floyd ARI (9)","25","21","26","31"
"Eric Decker NYJ (11)","26","24","31","26"
"Marvin Jones DET (10)","26","20","28","33"
"Kelvin Benjamin CAR (7)","28","36","27","22"
"Doug Baldwin SEA (5)","29","33","24","32"
"John Brown ARI (9)","30","31","23","36"
"Emmanuel Sanders DEN (11)","31","32","35","27"
"Willie Snead NO (5)","32","34","30","35"
"Michael Crabtree OAK (10)","33","39","32","29"
"Donte Moncrief IND (10)","34","42","38","21"
"DeSean Jackson WAS (9)","35","28","37","39"
"DeVante Parker MIA (8)","36","30","36","41"
"Tyler Lockett SEA (5)","36","38","39","30"
"Sterling Shepard NYG (8)","36","29","33","45"
"Kamar Aiken BAL (8)","39","43","34","37"
"Allen Hurns JAC (5)","40","35","40","40"
"Torrey Smith SF (8)","41","40","49","34"
"Kevin White CHI (9)","42","37","41","47"
"Stefon Diggs MIN (6)","43","57","42","43"
"Mohamed Sanu ATL (11)","44","49","57","38"
"Vincent Jackson TB (6)","45","46","51","48"
"Terrance Williams DAL (7)","47","44","46","61"
"Rishard Matthews TEN (13)","47","45","48","58"
"Josh Gordon CLE (13)","49","48","44","60"
"Markus Wheaton PIT (8)","50","41","52","63"
"Kendall Wright TEN (13)","50","52","47","57"
"Devin Funchess CAR (7)","52","53","62","44"
"Travis Benjamin SD (11)","52","51","56","52"
"Terrelle Pryor CLE (13)","54","48","64","50"
"Phillip Dorsett IND (10)","56","58","61","54"
"Rueben Randle PHI (4)","57","55","55","65"
"Sammie Coates PIT (8)","57","54","72","49"
"Tyler Boyd CIN (9)","59","66","54","56"
"Chris Hogan NE (9)","60","65","77","42"
"Tavon Austin LA (8)","61","69","45","75"
"Pierre Garcon WAS (9)","61","83","53","53"
"Dorial Green-Beckham PHI (4)","63","59","50","85"
"Mike Wallace BAL (8)","65","74","58","66"
"Nelson Agholor PHI (4)","66","62","82","59"
"Bruce Ellington SF (8)","67","65","63","77"
"Ted Ginn CAR (7)","68","61","67","79"
"Brandon LaFell CIN (9)","69","96","60","55"
"Davante Adams GB (4)","70","70","74","68"
"Andrew Hawkins CLE (13)","70","76","65","71"
"Steve Smith BAL (8)","72","73","73","70"
"Danny Amendola NE (9)","73","71","78","72"
"Victor Cruz NYG (8)","75","89","80","62"
