Teams:10,Rounds:15,Total drafts:675
Start date,August 27, 2016
End date,August 28, 2016

ADP,Overall,Name,Position,Team,Times Drafted,Bye
1.01,1.3,Antonio Brown,WR,PIT,411,8
1.03,2.8,Odell Beckham Jr,WR,NYG,380,8
1.04,3.8,Julio Jones,WR,ATL,487,11
1.04,4.0,Todd Gurley,RB,LA,213,8
1.06,5.7,David Johnson,RB,ARI,422,9
1.06,6.0,A.J. Green,WR,CIN,310,9
1.07,6.7,DeAndre Hopkins,WR,HOU,429,9
1.08,8.5,Ezekiel Elliott,RB,DAL,333,7
1.09,8.7,Adrian Peterson,RB,MIN,392,6
1.10,10.0,Allen Robinson,WR,JAC,402,5
2.01,10.9,Lamar Miller,RB,HOU,406,9
2.02,12.2,LeVeon Bell,RB,PIT,460,8
2.03,13.3,Dez Bryant,WR,DAL,281,7
2.04,14.5,Brandon Marshall,WR,NYJ,375,11
2.05,15.1,Keenan Allen,WR,SD,377,11
2.05,15.3,Rob Gronkowski,TE,NE,413,9
2.07,16.6,Mike Evans,WR,TB,438,6
2.08,18.0,Jordy Nelson,WR,GB,374,4
2.08,18.0,Jamaal Charles,RB,KC,404,5
2.09,19.3,Devonta Freeman,RB,ATL,390,11
3.01,20.5,Amari Cooper,WR,OAK,400,10
3.02,22.2,LeSean McCoy,RB,BUF,403,10
3.03,23.5,Eddie Lacy,RB,GB,405,4
3.04,23.6,Alshon Jeffery,WR,CHI,305,9
3.05,24.8,Brandin Cooks,WR,NO,351,5
3.05,25.1,Mark Ingram,RB,NO,369,5
3.07,27.2,Jarvis Landry,WR,MIA,341,8
3.09,28.6,T.Y. Hilton,WR,IND,317,10
3.10,29.6,Sammy Watkins,WR,BUF,357,10
3.10,30.1,Demaryius Thomas,WR,DEN,405,11
4.01,30.9,Doug Martin,RB,TB,379,6
4.02,31.6,Randall Cobb,WR,GB,389,4
4.03,33.1,CJ Anderson,RB,DEN,328,11
4.04,34.3,Cam Newton,QB,CAR,288,7
4.05,35.3,Julian Edelman,WR,NE,336,9
4.06,36.0,Latavius Murray,RB,OAK,290,10
4.06,36.0,Jordan Reed,TE,WAS,339,9
4.06,36.3,Kelvin Benjamin,WR,CAR,335,7
4.08,37.8,Aaron Rodgers,QB,GB,331,4
4.10,40.4,Jeremy Maclin,WR,KC,333,5
5.01,40.9,Thomas Rawls,RB,SEA,326,5
5.01,41.2,Donte Moncrief,WR,IND,363,10
5.03,42.7,Matt Forte,RB,NYJ,356,11
5.03,43.0,Carlos Hyde,RB,SF,291,8
5.03,43.3,DeMarco Murray,RB,TEN,392,13
5.05,45.5,Golden Tate,WR,DET,280,10
5.06,46.0,Greg Olsen,TE,CAR,282,7
5.06,46.4,Jeremy Langford,RB,CHI,307,9
5.08,47.6,Eric Decker,WR,NYJ,366,11
6.01,50.7,Doug Baldwin,WR,SEA,352,5
6.01,51.4,Danny Woodhead,RB,SD,257,11
6.02,51.8,Jeremy Hill,RB,CIN,307,9
6.02,52.4,Andrew Luck,QB,IND,213,10
6.03,53.3,Arian Foster,RB,MIA,271,8
6.03,53.5,Michael Floyd,WR,ARI,307,9
6.04,53.9,Russell Wilson,QB,SEA,261,5
